,precision,recall,f1-score,support
0,0.0,0.0,0.0,2.0
1,0.0,0.0,0.0,9.0
10,0.0,0.0,0.0,25.0
11,0.0,0.0,0.0,10.0
12,0.0,0.0,0.0,10.0
13,0.0,0.0,0.0,8.0
14,0.0,0.0,0.0,40.0
15,0.0,0.0,0.0,10.0
16,0.0,0.0,0.0,5.0
17,0.0,0.0,0.0,16.0
18,0.0,0.0,0.0,4.0
19,0.0,0.0,0.0,10.0
2,0.0,0.0,0.0,10.0
20,0.0,0.0,0.0,2.0
21,0.0,0.0,0.0,3.0
22,0.0,0.0,0.0,2.0
24,0.0,0.0,0.0,14.0
25,0.0,0.0,0.0,6.0
26,0.0,0.0,0.0,3.0
27,0.0,0.0,0.0,1.0
28,0.0,0.0,0.0,3.0
29,0.0,0.0,0.0,5.0
3,0.0,0.0,0.0,16.0
30,0.0,0.0,0.0,1.0
31,0.0,0.0,0.0,1.0
32,0.0,0.0,0.0,1.0
33,0.0,0.0,0.0,9.0
34,0.0,0.0,0.0,5.0
35,0.0,0.0,0.0,3.0
36,0.0,0.0,0.0,9.0
37,0.0,0.0,0.0,9.0
38,0.0,0.0,0.0,4.0
39,0.0,0.0,0.0,2.0
4,0.0,0.0,0.0,20.0
40,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,2.0
6,0.11764705882352941,0.3050847457627119,0.16981132075471697,59.0
7,0.0,0.0,0.0,20.0
8,0.0,0.0,0.0,66.0
9,0.0,0.0,0.0,3.0
accuracy,0.04176334106728538,0.04176334106728538,0.04176334106728538,0.04176334106728538
macro avg,0.0029411764705882353,0.007627118644067797,0.0042452830188679245,431.0
weighted avg,0.016104817797188482,0.04176334106728538,0.023245633235564504,431.0
