,precision,recall,f1-score,support
0,0.967741935483871,1.0,0.9836065573770492,60.0
1,0.9903314917127072,0.9958333333333333,0.9930747922437673,720.0
10,1.0,1.0,1.0,660.0
11,0.9572446555819477,0.9595238095238096,0.9583828775267539,420.0
12,0.9955290611028316,0.9681159420289855,0.9816311535635562,690.0
13,0.9958391123439667,0.9972222222222222,0.9965301873698821,720.0
14,0.9926470588235294,1.0,0.996309963099631,270.0
15,0.967741935483871,1.0,0.9836065573770492,210.0
16,1.0,1.0,1.0,150.0
17,1.0,0.9833333333333333,0.9915966386554622,360.0
18,0.967741935483871,0.9230769230769231,0.9448818897637795,390.0
19,1.0,1.0,1.0,60.0
2,0.9959623149394348,0.9866666666666667,0.9912926992632284,750.0
20,0.967741935483871,1.0,0.9836065573770492,90.0
21,0.7325581395348837,0.7,0.7159090909090909,90.0
22,1.0,0.825,0.9041095890410958,120.0
23,0.8054054054054054,0.9933333333333333,0.8895522388059701,150.0
24,1.0,1.0,1.0,90.0
25,0.9914893617021276,0.9708333333333333,0.9810526315789474,480.0
26,0.967741935483871,1.0,0.9836065573770492,180.0
27,0.821917808219178,1.0,0.9022556390977443,60.0
28,0.974025974025974,1.0,0.9868421052631579,150.0
29,0.967741935483871,1.0,0.9836065573770492,90.0
3,0.9888392857142857,0.9844444444444445,0.9866369710467706,450.0
30,0.9191176470588235,0.8333333333333334,0.8741258741258742,150.0
31,0.9818181818181818,1.0,0.9908256880733946,270.0
32,1.0,1.0,1.0,60.0
33,0.995260663507109,1.0,0.997624703087886,210.0
34,1.0,1.0,1.0,120.0
35,0.9974424552429667,1.0,0.998719590268886,390.0
36,0.9836065573770492,1.0,0.9917355371900827,120.0
37,0.9836065573770492,1.0,0.9917355371900827,60.0
38,0.9841726618705036,0.991304347826087,0.9877256317689531,690.0
39,1.0,1.0,1.0,90.0
4,0.9954407294832827,0.9924242424242424,0.9939301972685888,660.0
40,0.9444444444444444,0.9444444444444444,0.9444444444444444,90.0
41,1.0,1.0,1.0,60.0
42,0.989010989010989,1.0,0.994475138121547,90.0
5,0.9873417721518988,0.9904761904761905,0.9889064976228209,630.0
6,1.0,0.9933333333333333,0.9966555183946488,150.0
7,0.9846491228070176,0.9977777777777778,0.9911699779249448,450.0
8,0.9977728285077951,0.9955555555555555,0.996662958843159,450.0
9,1.0,1.0,1.0,480.0
accuracy,0.9832937450514647,0.9832937450514647,0.9832937450514647,0.9832937450514647
macro avg,0.9719052533178282,0.9773495945690079,0.9738797336846372,12630.0
weighted avg,0.9838755086245383,0.9832937450514647,0.9832632608196189,12630.0
