,precision,recall,f1-score,support
0,1.0,0.9,0.9473684210526315,60.0
1,0.953551912568306,0.9694444444444444,0.9614325068870524,720.0
10,1.0,0.7045454545454546,0.8266666666666667,660.0
11,0.8529411764705882,0.8976190476190476,0.8747099767981439,420.0
12,0.8655737704918033,0.7652173913043478,0.8123076923076923,690.0
13,0.8476977567886659,0.9972222222222222,0.9164007657945118,720.0
14,1.0,0.43703703703703706,0.6082474226804123,270.0
15,0.8367346938775511,0.9761904761904762,0.9010989010989011,210.0
16,1.0,0.78,0.8764044943820225,150.0
17,1.0,0.7666666666666667,0.8679245283018868,360.0
18,0.8518518518518519,0.8846153846153846,0.8679245283018868,390.0
19,1.0,0.5,0.6666666666666666,60.0
2,0.9316939890710383,0.9093333333333333,0.9203778677462888,750.0
20,0.782608695652174,1.0,0.8780487804878049,90.0
21,0.9438202247191011,0.9333333333333333,0.9385474860335196,90.0
22,1.0,0.7833333333333333,0.8785046728971962,120.0
23,0.8560606060606061,0.7533333333333333,0.8014184397163121,150.0
24,0.8793103448275862,0.5666666666666667,0.6891891891891891,90.0
25,0.9508196721311475,0.9666666666666667,0.9586776859504132,480.0
26,0.967032967032967,0.9777777777777777,0.9723756906077348,180.0
27,0.896551724137931,0.8666666666666667,0.8813559322033898,60.0
28,1.0,0.98,0.98989898989899,150.0
29,0.9574468085106383,1.0,0.9782608695652174,90.0
3,0.9254807692307693,0.8555555555555555,0.8891454965357968,450.0
30,0.6388888888888888,0.15333333333333332,0.24731182795698925,150.0
31,0.926530612244898,0.8407407407407408,0.8815533980582524,270.0
32,0.8823529411764706,1.0,0.9375,60.0
33,0.985781990521327,0.9904761904761905,0.9881235154394299,210.0
34,1.0,1.0,1.0,120.0
35,0.8060046189376443,0.8948717948717949,0.8481166464155528,390.0
36,0.916030534351145,1.0,0.9561752988047809,120.0
37,1.0,0.9333333333333333,0.9655172413793104,60.0
38,0.3901869158878505,0.9681159420289855,0.556203164029975,690.0
39,1.0,0.6666666666666666,0.8,90.0
4,0.9554030874785592,0.843939393939394,0.8962188254223652,660.0
40,0.5736434108527132,0.8222222222222222,0.6757990867579908,90.0
41,1.0,1.0,1.0,60.0
42,0.9402985074626866,0.7,0.802547770700637,90.0
5,0.9647266313932981,0.8682539682539683,0.9139515455304928,630.0
6,1.0,0.48,0.6486486486486487,150.0
7,0.9792284866468842,0.7333333333333333,0.8386277001270648,450.0
8,0.9847094801223242,0.7155555555555555,0.8288288288288288,450.0
9,0.8808510638297873,0.8625,0.871578947368421,480.0
accuracy,0.8463182897862233,0.8463182897862233,0.8463182897862233,0.8463182897862233
macro avg,0.9098561426329582,0.8289434247922619,0.8502245608660246,12630.0
weighted avg,0.8946578175537738,0.8463182897862233,0.852637791981408,12630.0
