Filename,Annotation tag,Upper left corner X,Upper left corner Y,Lower right corner X,Lower right corner Y,Occluded,On another road,Origin file,Origin frame number,Origin track,Origin track frame number,ClassId
2021_0819_170825_087A-rightTurnOnly-start8315.MOV_image3.png,curveRightOnly,756,249,773,271,0,0,raw_videos/2021_0819_170825_087A.MOV,8474,tracks/2021_0819_170825_087A-rightTurnOnly-start8315.MOV,159,36
GOPR0462-converted-012-keepRight-start25090.mp4_image11.png,keepRight,290,312,317,349,0,0,raw_videos/GOPR0462-converted-012.mp4,25254,tracks/GOPR0462-converted-012-keepRight-start25090.mp4,164,6
GOPR0462-converted-012-keepRight-start25090.mp4_image5.png,keepRight,423,358,438,379,0,0,raw_videos/GOPR0462-converted-012.mp4,25224,tracks/GOPR0462-converted-012-keepRight-start25090.mp4,134,6
2021_0819_170825_087A-noRightTurn-start12060.MOV_image39.png,noRightTurn,664,272,675,287,0,0,raw_videos/2021_0819_170825_087A.MOV,12114,tracks/2021_0819_170825_087A-noRightTurn-start12060.MOV,54,34
2021_0821_074733_056A-speedLimit35-start10870.MOV_image5.png,speedLimit35,836,157,888,240,0,0,raw_videos/2021_0821_074733_056A.MOV,10919,tracks/2021_0821_074733_056A-speedLimit35-start10870.MOV,49,37
GOPR0462-converted-012-noLeftTurn-start25500.mp4_image9.png,noUTurn,425,355,446,376,0,0,raw_videos/GOPR0462-converted-012.mp4,25569,tracks/GOPR0462-converted-012-noLeftTurn-start25500.mp4,69,12
2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV_image80.png,doNotEnter,71,263,82,284,0,1,raw_videos/2021_0819_170825_087A.MOV,11834,tracks/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV,2994,10
2021_0819_101027_083A-noRightTurn-start5815.MOV_image8.png,noRightTurn,837,221,859,259,0,0,raw_videos/2021_0819_101027_083A.MOV,5909,tracks/2021_0819_101027_083A-noRightTurn-start5815.MOV,94,34
GOPR0460-converted-007-pedestrianCrossing-start4065.mp4_image8.png,pedestrianCrossing,526,304,554,333,0,0,raw_videos/GOPR0460-converted-007.mp4,4144,tracks/GOPR0460-converted-007-pedestrianCrossing-start4065.mp4,79,8
2021_0818_121908_066B-doNotEnter-start10545.MOV_image11.png,doNotEnter,240,234,297,297,0,1,raw_videos/2021_0818_121908_066B.MOV,10614,tracks/2021_0818_121908_066B-doNotEnter-start10545.MOV,69,10
GOPR0460-converted-007-speedLimit55-start14490.mp4_image4.png,speedLimit55,783,280,808,318,0,0,raw_videos/GOPR0460-converted-007.mp4,14524,tracks/GOPR0460-converted-007-speedLimit55-start14490.mp4,34,24
GOPR0460-converted-007-exitSpeedAdvisory25-start20110.mp4_image1.png,exitSpeedAdvisory25,785,296,806,327,0,0,raw_videos/GOPR0460-converted-007.mp4,20119,tracks/GOPR0460-converted-007-exitSpeedAdvisory25-start20110.mp4,9,21
GOPR0461-converted-010-keepRight-start26015.mp4_image3.png,keepRight,873,253,886,281,0,1,raw_videos/GOPR0461-converted-010.mp4,26164,tracks/GOPR0461-converted-010-keepRight-start26015.mp4,149,6
GOPR0459-converted-009-noLeftTurn-start27490.mp4_image5.png,noLeftTurn,280,264,315,307,0,0,raw_videos/GOPR0459-converted-009.mp4,27584,tracks/GOPR0459-converted-009-noLeftTurn-start27490.mp4,94,11
2021_0821_074733_056A-keepRight-start1115.MOV_image6.png,keepRight,333,227,368,266,0,0,raw_videos/2021_0821_074733_056A.MOV,1149,tracks/2021_0821_074733_056A-keepRight-start1115.MOV,34,6
GOPR0460-converted-007-shiftRight-start22380.mp4_image2.png,shiftRight,240,272,280,325,0,0,raw_videos/GOPR0460-converted-007.mp4,22414,tracks/GOPR0460-converted-007-shiftRight-start22380.mp4,34,29
GOPR0456-converted-speedLimit45-start9985.mp4_image8.png,doNotEnter,875,243,909,284,0,1,raw_videos/GOPR0456-converted.mp4,10014,tracks/GOPR0456-converted-speedLimit45-start9985.mp4,29,10
2021_0819_101027_083A-noRightTurn-start5815.MOV_image3.png,noRightTurn,839,221,861,260,0,0,raw_videos/2021_0819_101027_083A.MOV,5909,tracks/2021_0819_101027_083A-noRightTurn-start5815.MOV,94,34
GOPR0455-converted-005-bicycleCrossing-start3675.mp4_image1.png,bicycleCrossing,906,269,937,304,0,0,raw_videos/GOPR0455-converted-005.mp4,3754,tracks/GOPR0455-converted-005-bicycleCrossing-start3675.mp4,79,0
2021_0824_163113_046A-pedestrianCrossing-start9275.MOV_image3.png,keepRight,84,178,115,229,0,0,raw_videos/2021_0824_163113_046A.MOV,9369,tracks/2021_0824_163113_046A-pedestrianCrossing-start9275.MOV,94,6
2021_0820_171756_025A-stop-start1070.MOV_image1.png,stop,491,262,520,287,0,0,raw_videos/2021_0820_171756_025A.MOV,1194,tracks/2021_0820_171756_025A-stop-start1070.MOV,124,14
GOPR0462-converted-012-speedLimit45-start28005.mp4_image1.png,keepRight,891,308,911,343,0,1,raw_videos/GOPR0462-converted-012.mp4,28199,tracks/GOPR0462-converted-012-speedLimit45-start28005.mp4,194,6
2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV_image101.png,oneWay,100,255,118,269,0,1,raw_videos/2021_0819_170825_087A.MOV,11794,tracks/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV,2954,4
2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV_image22.png,noLeftOrUTurn,263,193,301,234,0,0,raw_videos/2021_0819_170825_087A.MOV,11784,tracks/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV,2944,33
GOPR0456-converted-speedLimit45-start3675.mp4_image6.png,speedLimit45,660,310,684,340,0,0,raw_videos/GOPR0456-converted.mp4,3734,tracks/GOPR0456-converted-speedLimit45-start3675.mp4,59,7
2021_0824_163113_046A-noLeftTurn-start5465.MOV_image20.png,noUTurn,168,210,199,247,0,0,raw_videos/2021_0824_163113_046A.MOV,5609,tracks/2021_0824_163113_046A-noLeftTurn-start5465.MOV,144,12
GOPR0460-converted-007-workersAhead-start2765.mp4_image8.png,oneWay,119,328,137,345,0,0,raw_videos/GOPR0460-converted-007.mp4,2844,tracks/GOPR0460-converted-007-workersAhead-start2765.mp4,79,4
2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV_image104.png,oneWay,92,254,111,269,0,1,raw_videos/2021_0819_170825_087A.MOV,11809,tracks/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV,2969,4
2021_0823_165831_035B-schoolAhead-start12260.MOV_image26.png,curveLeftOnly,108,196,146,249,0,0,raw_videos/2021_0823_165831_035B.MOV,12344,tracks/2021_0823_165831_035B-schoolAhead-start12260.MOV,84,38
GOPR0460-converted-007-pedestrianCrossing-start4065.mp4_image22.png,rampSpeedAdvisory30,717,266,759,315,0,0,raw_videos/GOPR0460-converted-007.mp4,4154,tracks/GOPR0460-converted-007-pedestrianCrossing-start4065.mp4,89,26
2021_0901_101325_073A-signalAhead-start4145.MOV_image6.png,signalAhead,349,262,371,285,0,0,raw_videos/2021_0901_101325_073A.MOV,4234,tracks/2021_0901_101325_073A-signalAhead-start4145.MOV,89,16
GOPR0457-converted-006-pedestrianCrossing-start2305.mp4_image3.png,school,626,343,654,370,0,0,raw_videos/GOPR0457-converted-006.mp4,2364,tracks/GOPR0457-converted-006-pedestrianCrossing-start2305.mp4,59,1
2021_0819_102141_085A-stop-start1820.MOV_image1.png,stop,757,197,791,246,0,1,raw_videos/2021_0819_102141_085A.MOV,2094,tracks/2021_0819_102141_085A-stop-start1820.MOV,274,14
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image25.png,pedestrianCrossing,876,216,902,249,0,0,raw_videos/2021_0819_101027_083A.MOV,5264,tracks/2021_0819_101027_083A-pedestrianCrossing-start5095.MOV,169,8
2021_0819_101027_083A-speedLimit45-start2115.MOV_image4.png,speedLimit45,693,257,720,283,0,0,raw_videos/2021_0819_101027_083A.MOV,2179,tracks/2021_0819_101027_083A-speedLimit45-start2115.MOV,64,7
GOPR0454-converted-011-pedestrianCrossing-start28002.mp4_image6.png,pedestrianCrossing,644,228,682,260,0,0,raw_videos/GOPR0454-converted-011.mp4,28111,tracks/GOPR0454-converted-011-pedestrianCrossing-start28002.mp4,109,8
GOPR0462-converted-012-doNotBlock-start30715.mp4_image0.png,doNotBlock,763,297,802,340,0,0,raw_videos/GOPR0462-converted-012.mp4,30769,tracks/GOPR0462-converted-012-doNotBlock-start30715.mp4,54,9
GOPR0462-converted-012-keepRight-start25090.mp4_image0.png,keepRight,844,346,853,371,0,1,raw_videos/GOPR0462-converted-012.mp4,25159,tracks/GOPR0462-converted-012-keepRight-start25090.mp4,69,6
GOPR0462-converted-012-speedLimit45-start31240.mp4_image12.png,doNotEnter,824,319,840,349,0,1,raw_videos/GOPR0462-converted-012.mp4,31309,tracks/GOPR0462-converted-012-speedLimit45-start31240.mp4,69,10
GOPR0460-converted-007-laneEnds-start17805.mp4_image1.png,addedLane,693,330,712,347,0,0,raw_videos/GOPR0460-converted-007.mp4,17874,tracks/GOPR0460-converted-007-laneEnds-start17805.mp4,69,19
2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV_image44.png,pedestrianCrossing,775,241,791,266,0,1,raw_videos/2021_0819_170825_087A.MOV,11799,tracks/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV,2959,8
2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV_image37.png,pedestrianCrossing,772,239,787,264,0,1,raw_videos/2021_0819_170825_087A.MOV,11764,tracks/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV,2924,8
2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV_image38.png,pedestrianCrossing,772,239,787,264,0,1,raw_videos/2021_0819_170825_087A.MOV,11769,tracks/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV,2929,8
GOPR0460-converted-007-shiftRight-start22635.mp4_image2.png,shiftRight,260,287,303,341,0,0,raw_videos/GOPR0460-converted-007.mp4,22684,tracks/GOPR0460-converted-007-shiftRight-start22635.mp4,49,29
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image75.png,pedestrianCrossing,882,211,914,250,0,0,raw_videos/2021_0819_101027_083A.MOV,5504,tracks/2021_0819_101027_083A-pedestrianCrossing-start5095.MOV,409,8
GOPR0460-converted-007-speedLimit55-start14490.mp4_image9.png,speedLimit55,204,305,235,340,0,0,raw_videos/GOPR0460-converted-007.mp4,14529,tracks/GOPR0460-converted-007-speedLimit55-start14490.mp4,39,24
GOPR0462-converted-012-leftLaneEnds-start3100.mp4_image6.png,laneEnds,254,366,300,419,0,0,raw_videos/GOPR0462-converted-012.mp4,3189,tracks/GOPR0462-converted-012-leftLaneEnds-start3100.mp4,89,15
2021_0825_183915_067B-keepLeft-start6700.MOV_image2.png,keepLeft,544,381,567,406,0,1,raw_videos/2021_0825_183915_067B.MOV,6729,tracks/2021_0825_183915_067B-keepLeft-start6700.MOV,29,18
2021_0823_170831_037B-doNotEnter-start110.MOV_image4.png,doNotEnter,348,343,372,368,0,1,raw_videos/2021_0823_170831_037B.MOV,189,tracks/2021_0823_170831_037B-doNotEnter-start110.MOV,79,10
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image14.png,roadworkAhead,799,212,835,271,0,0,raw_videos/2021_0819_101027_083A.MOV,4464,tracks/2021_0819_101027_083A-roadworkAhead-start4320.MOV,144,2
2021_0901_101325_073A-pedestrianCrossing-start320.MOV_image12.png,pedestrianCrossing,598,215,639,259,0,0,raw_videos/2021_0901_101325_073A.MOV,389,tracks/2021_0901_101325_073A-pedestrianCrossing-start320.MOV,69,8
2021_0820_171756_025A-stop-start1070.MOV_image6.png,stop,511,252,546,283,0,0,raw_videos/2021_0820_171756_025A.MOV,1219,tracks/2021_0820_171756_025A-stop-start1070.MOV,149,14
2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV_image97.png,oneWay,102,253,120,267,0,1,raw_videos/2021_0819_170825_087A.MOV,11774,tracks/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV,2934,4
2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV_image16.png,noLeftOrUTurn,265,194,302,233,0,0,raw_videos/2021_0819_170825_087A.MOV,11654,tracks/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV,2814,33
2021_0819_170825_087A-rightTurnOnly-start8315.MOV_image6.png,curveRightOnly,824,239,844,267,0,0,raw_videos/2021_0819_170825_087A.MOV,8489,tracks/2021_0819_170825_087A-rightTurnOnly-start8315.MOV,174,36
GOPR0460-converted-007-laneEnds-start19015.mp4_image9.png,speedLimit55,750,306,773,338,0,0,raw_videos/GOPR0460-converted-007.mp4,19134,tracks/GOPR0460-converted-007-laneEnds-start19015.mp4,119,24
2021_0826_155802_084A-keepRight-start7885.MOV_image11.png,keepRight,271,205,296,245,0,0,raw_videos/2021_0826_155802_084A.MOV,7934,tracks/2021_0826_155802_084A-keepRight-start7885.MOV,49,6
2021_0901_101325_073A-pedestrianCrossing-start320.MOV_image5.png,pedestrianCrossing,738,237,765,275,0,0,raw_videos/2021_0901_101325_073A.MOV,354,tracks/2021_0901_101325_073A-pedestrianCrossing-start320.MOV,34,8
2021_0824_163113_046A-noLeftTurn-start5465.MOV_image25.png,pedestrianCrossing,713,227,747,270,0,0,raw_videos/2021_0824_163113_046A.MOV,5659,tracks/2021_0824_163113_046A-noLeftTurn-start5465.MOV,194,8
2021_0819_170825_087A-noRightTurn-start12060.MOV_image1.png,pedestrianCrossing,101,246,121,272,0,1,raw_videos/2021_0819_170825_087A.MOV,12164,tracks/2021_0819_170825_087A-noRightTurn-start12060.MOV,104,8
2021_0901_101325_073A-doNotBlock-start4290.MOV_image8.png,speedLimit25,448,273,457,290,0,0,raw_videos/2021_0901_101325_073A.MOV,4454,tracks/2021_0901_101325_073A-doNotBlock-start4290.MOV,164,13
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image74.png,pedestrianCrossing,882,211,914,250,0,0,raw_videos/2021_0819_101027_083A.MOV,5499,tracks/2021_0819_101027_083A-pedestrianCrossing-start5095.MOV,404,8
GOPR0460-converted-007-merge-start15845.mp4_image5.png,merge,876,281,907,312,0,0,raw_videos/GOPR0460-converted-007.mp4,15894,tracks/GOPR0460-converted-007-merge-start15845.mp4,49,25
GOPR0460-converted-007-addedLane-start17205.mp4_image0.png,addedLane,709,321,728,342,0,0,raw_videos/GOPR0460-converted-007.mp4,17209,tracks/GOPR0460-converted-007-addedLane-start17205.mp4,4,19
2021_0819_085433_069A-stop-start1995.MOV_image5.png,stop,735,186,788,243,0,0,raw_videos/2021_0819_085433_069A.MOV,2184,tracks/2021_0819_085433_069A-stop-start1995.MOV,189,14
2021_0821_074733_056A-speedLimit30-start12510.MOV_image32.png,speedLimit30,784,206,835,261,0,0,raw_videos/2021_0821_074733_056A.MOV,12669,tracks/2021_0821_074733_056A-speedLimit30-start12510.MOV,159,17
2021_0819_101027_083A-keepRight-start585.MOV_image0.png,keepRight,115,235,134,263,0,0,raw_videos/2021_0819_101027_083A.MOV,704,tracks/2021_0819_101027_083A-keepRight-start585.MOV,119,6
GOPR0460-converted-007-shiftRight-start22380.mp4_image1.png,shiftRight,293,289,329,333,0,0,raw_videos/GOPR0460-converted-007.mp4,22409,tracks/GOPR0460-converted-007-shiftRight-start22380.mp4,29,29
2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV_image100.png,oneWay,101,254,120,268,0,1,raw_videos/2021_0819_170825_087A.MOV,11789,tracks/2021_0819_170825_087A-noLeftOrUTurn-start8840.MOV,2949,4
2021_0820_175801_033B-stop-start1865.MOV_image0.png,stop,252,378,283,418,0,0,raw_videos/2021_0820_175801_033B.MOV,1914,tracks/2021_0820_175801_033B-stop-start1865.MOV,49,14
GOPR0458-converted-speedLimit25-start4565.mp4_image5.png,speedLimit25,369,373,389,404,0,0,raw_videos/GOPR0458-converted.mp4,4619,tracks/GOPR0458-converted-speedLimit25-start4565.mp4,54,13
GOPR0455-converted-005-roadworkAhead-start3775.mp4_image12.png,workersAhead,807,292,851,338,0,0,raw_videos/GOPR0455-converted-005.mp4,4014,tracks/GOPR0455-converted-005-roadworkAhead-start3775.mp4,239,3
