,Speed Limit (20Km/hr),Speed Limit (30Km/hr),Speed Limit (50Km/hr),Speed Limit (60Km/hr),Speed Limit (70Km/hr),Speed Limit (80Km/hr),End of Speed Limit (80Km/hr),Speed Limit (100Km/hr),Speed Limit (120Km/hr),No Passing,No Passing for trucks over 3.5 tons,Right of way,Priotity Road,Yeild right of way,Stop,Prohibited for all vehicles,Trucks and tractors over 3.5 tons prohibited,Entery prohibited,Danger,Single curve left,Single curve right,Double curve,Rough road,Slippery road,Road narrows,Construction side ahead,Signal lights ahead,Pedestrian crosswalk ahead,Children,Bicycle crossing,Unexpected ice danger,Wild animal crossing,End of restrection,Mandatory direction of travel right,Mandatory direction of travel left,Mandatory direction of travel ahead,Straight or right,Straight or left,Keep right,Keep left,Traffic circle,End of no passing zone cars,End of no passing zone vehicle over 3.5 tons,Unknown
Speed Limit (20Km/hr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Speed Limit (30Km/hr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Speed Limit (50Km/hr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Speed Limit (60Km/hr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Speed Limit (70Km/hr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Speed Limit (80Km/hr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
End of Speed Limit (80Km/hr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Speed Limit (100Km/hr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Speed Limit (120Km/hr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
No Passing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
