,precision,recall,f1-score,support
0,0.0,0.0,0.0,2.0
1,0.0,0.0,0.0,9.0
10,0.4074074074074074,0.44,0.4230769230769231,25.0
11,0.0,0.0,0.0,10.0
12,0.0,0.0,0.0,10.0
13,0.45454545454545453,0.625,0.5263157894736842,8.0
14,0.0,0.0,0.0,40.0
15,0.0,0.0,0.0,10.0
16,0.0,0.0,0.0,5.0
17,0.5714285714285714,1.0,0.7272727272727273,16.0
18,0.0,0.0,0.0,4.0
19,0.0,0.0,0.0,10.0
2,0.0,0.0,0.0,10.0
20,0.0,0.0,0.0,2.0
21,0.0,0.0,0.0,3.0
22,0.0,0.0,0.0,2.0
24,0.375,0.42857142857142855,0.4,14.0
25,0.0,0.0,0.0,6.0
26,0.0,0.0,0.0,3.0
28,0.0,0.0,0.0,3.0
29,0.14705882352941177,1.0,0.2564102564102564,5.0
3,0.36363636363636365,0.75,0.4897959183673469,16.0
31,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0
33,0.0,0.0,0.0,9.0
34,0.0,0.0,0.0,5.0
35,0.75,1.0,0.8571428571428571,3.0
36,0.24324324324324326,1.0,0.391304347826087,9.0
37,1.0,0.3333333333333333,0.5,9.0
38,0.0,0.0,0.0,4.0
39,1.0,1.0,1.0,2.0
4,0.3055555555555556,0.55,0.39285714285714285,20.0
40,0.4,0.6666666666666666,0.5,3.0
5,0.0,0.0,0.0,2.0
6,0.43119266055045874,0.7966101694915254,0.5595238095238095,59.0
7,1.0,0.65,0.7878787878787878,20.0
8,0.5072463768115942,0.5303030303030303,0.5185185185185185,66.0
9,0.0,0.0,0.0,3.0
accuracy,0.42424242424242425,0.42424242424242425,0.42424242424242425,0.42424242424242425
macro avg,0.26200827517652786,0.3360653849569996,0.27184465995653,429.0
weighted avg,0.3226965269057748,0.42424242424242425,0.3451855764701957,429.0
