,precision,recall,f1-score,support
0,0.0,0.0,0.0,2.0
1,0.0,0.0,0.0,9.0
10,0.8888888888888888,0.32,0.47058823529411764,25.0
11,0.0,0.0,0.0,10.0
12,0.0,0.0,0.0,10.0
13,0.0,0.0,0.0,8.0
14,0.0,0.0,0.0,40.0
15,0.0,0.0,0.0,10.0
16,0.0,0.0,0.0,5.0
17,1.0,0.3125,0.47619047619047616,16.0
18,0.0,0.0,0.0,4.0
19,0.0,0.0,0.0,10.0
2,0.0,0.0,0.0,10.0
20,0.0,0.0,0.0,2.0
21,0.0,0.0,0.0,3.0
22,0.0,0.0,0.0,2.0
24,0.42857142857142855,0.42857142857142855,0.42857142857142855,14.0
25,0.0,0.0,0.0,6.0
26,0.0,0.0,0.0,3.0
28,0.0,0.0,0.0,3.0
29,1.0,0.6,0.75,5.0
3,0.35714285714285715,0.3125,0.3333333333333333,16.0
31,0.0,0.0,0.0,1.0
32,0.5,1.0,0.6666666666666666,1.0
33,0.0,0.0,0.0,9.0
34,0.0,0.0,0.0,5.0
35,0.0,0.0,0.0,3.0
36,0.10344827586206896,1.0,0.1875,9.0
37,0.0,0.0,0.0,9.0
38,0.0,0.0,0.0,4.0
39,0.5,1.0,0.6666666666666666,2.0
4,0.2,0.8,0.32,20.0
40,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,2.0
6,0.3611111111111111,0.6610169491525424,0.46706586826347307,59.0
7,0.1794871794871795,0.7,0.2857142857142857,20.0
8,0.7916666666666666,0.2878787878787879,0.4222222222222222,66.0
9,0.0,0.0,0.0,3.0
accuracy,0.29603729603729606,0.29603729603729606,0.29603729603729606,0.29603729603729606
macro avg,0.16606095809816318,0.19532808330533577,0.1440662942874387,429.0
weighted avg,0.3228737565607592,0.29603729603729606,0.24636929007746194,429.0
